Time [s],Time [day],Original,Reconstructed
2685600.0,31.083333333333332,10.301,10.301000000000014
2686200.0,31.09027777777778,10.258,10.257999999999996
2686800.0,31.09722222222222,10.217,10.217000000000004
2687400.0,31.104166666666668,10.177,10.176999999999996
2688000.0,31.11111111111111,10.136,10.13599999999999
2688600.0,31.118055555555557,10.095,10.095000000000017
2689200.0,31.125,10.055,10.05499999999999
2689800.0,31.131944444444443,9.969,9.968999999999989
2690400.0,31.13888888888889,9.876,9.876
2691000.0,31.145833333333332,9.783,9.78299999999999
2691600.0,31.15277777777778,9.69,9.689999999999996
2692200.0,31.15972222222222,9.596,9.596000000000002
2692800.0,31.166666666666668,9.503,9.503000000000009
2693400.0,31.17361111111111,9.41,9.409999999999998
2694000.0,31.180555555555557,9.317,9.317000000000004
2694600.0,31.1875,9.224,9.224
2695200.0,31.194444444444443,9.131,9.130999999999997
2695800.0,31.20138888888889,9.037,9.037000000000004
2696400.0,31.208333333333332,8.944,8.94399999999999
2697000.0,31.21527777777778,8.982,8.98199999999999
2697600.0,31.22222222222222,9.042,9.042
2698200.0,31.229166666666668,9.103,9.103000000000003
2698800.0,31.23611111111111,9.164,9.16399999999999
2699400.0,31.243055555555557,9.227,9.226999999999997
2700000.0,31.25,9.289,9.289000000000003
2700600.0,31.256944444444443,9.511,9.510999999999989
2701200.0,31.26388888888889,9.759,9.758999999999999
2701800.0,31.270833333333332,10.009,10.009000000000002
2702400.0,31.27777777777778,10.261,10.260999999999992
2703000.0,31.28472222222222,10.514,10.513999999999994
2703600.0,31.291666666666668,10.768,10.767999999999999
2704200.0,31.29861111111111,11.01,11.01
2704800.0,31.305555555555557,11.251,11.250999999999996
2705400.0,31.3125,11.493,11.493000000000006
2706000.0,31.319444444444443,11.735,11.734999999999996
2706600.0,31.32638888888889,11.978,11.977999999999998
2707200.0,31.333333333333332,12.222,12.221999999999987
2707800.0,31.34027777777778,12.477,12.476999999999997
2708400.0,31.34722222222222,12.735,12.734999999999992
2709000.0,31.354166666666668,12.994,12.99399999999999
2709600.0,31.36111111111111,13.254,13.254000000000003
2710200.0,31.368055555555557,13.514,13.513999999999989
2710800.0,31.375,13.776,13.775999999999993
2711400.0,31.381944444444443,14.082,14.081999999999997
2712000.0,31.38888888888889,14.395,14.394999999999992
2712600.0,31.395833333333332,14.711,14.710999999999997
2713200.0,31.40277777777778,15.028,15.027999999999995
2713800.0,31.40972222222222,15.347,15.34699999999999
2714400.0,31.416666666666668,15.668,15.667999999999997
2715000.0,31.42361111111111,15.935,15.934999999999997
2715600.0,31.430555555555557,16.195,16.195
2716200.0,31.4375,16.455,16.454999999999988
2716800.0,31.444444444444443,16.715,16.71499999999999
2717400.0,31.45138888888889,16.974,16.973999999999997
2718000.0,31.458333333333332,17.235,17.234999999999967
2718600.0,31.46527777777778,17.456,17.455999999999996
2719200.0,31.47222222222222,17.672,17.67200000000001
2719800.0,31.479166666666668,17.888,17.888
2720400.0,31.48611111111111,18.103,18.103
2721000.0,31.493055555555557,18.318,18.317999999999987
2721600.0,31.5,18.534,18.533999999999985
2722200.0,31.506944444444443,18.621,18.620999999999995
2722800.0,31.51388888888889,18.686,18.685999999999986
2723400.0,31.520833333333332,18.751,18.750999999999987
2724000.0,31.52777777777778,18.815,18.815
2724600.0,31.53472222222222,18.879,18.879
2725200.0,31.541666666666668,18.942,18.94199999999999
2725800.0,31.54861111111111,19.071,19.070999999999998
2726400.0,31.555555555555557,19.208,19.208
2727000.0,31.5625,19.347,19.347
2727600.0,31.569444444444443,19.487,19.48699999999998
2728200.0,31.57638888888889,19.626,19.625999999999994
2728800.0,31.583333333333332,19.766,19.766
2729400.0,31.59027777777778,19.615,19.614999999999988
2730000.0,31.59722222222222,19.416,19.416
2730600.0,31.604166666666668,19.214,19.213999999999995
2731200.0,31.61111111111111,19.008,19.007999999999985
2731800.0,31.618055555555557,18.801,18.80099999999999
2732400.0,31.625,18.591,18.591000000000008
2733000.0,31.631944444444443,18.401,18.400999999999996
2733600.0,31.63888888888889,18.21,18.210000000000004
2734200.0,31.645833333333332,18.019,18.018999999999995
2734800.0,31.65277777777778,17.828,17.827999999999992
2735400.0,31.65972222222222,17.635,17.634999999999998
2736000.0,31.666666666666668,17.441,17.441
2736600.0,31.67361111111111,17.202,17.201999999999995
2737200.0,31.680555555555557,16.955,16.955
2737800.0,31.6875,16.706,16.705999999999978
2738400.0,31.694444444444443,16.455,16.455000000000005
2739000.0,31.70138888888889,16.202,16.201999999999995
2739600.0,31.708333333333332,15.947,15.946999999999983
2740200.0,31.71527777777778,15.858,15.85799999999999
2740800.0,31.72222222222222,15.796,15.795999999999989
2741400.0,31.729166666666668,15.734,15.733999999999984
2742000.0,31.73611111111111,15.672,15.671999999999997
2742600.0,31.743055555555557,15.61,15.609999999999985
2743200.0,31.75,15.548,15.548000000000007
2743800.0,31.756944444444443,15.474,15.473999999999995
2744400.0,31.76388888888889,15.398,15.39799999999999
2745000.0,31.770833333333332,15.322,15.321999999999987
2745600.0,31.77777777777778,15.245,15.244999999999996
2746200.0,31.78472222222222,15.168,15.167999999999997
2746800.0,31.791666666666668,15.09,15.089999999999993
2747400.0,31.79861111111111,14.954,14.953999999999981
2748000.0,31.805555555555557,14.808,14.808
2748600.0,31.8125,14.661,14.660999999999989
2749200.0,31.819444444444443,14.514,14.513999999999996
2749800.0,31.82638888888889,14.367,14.36699999999999
