åé,ì˙,éû,ãCâ∑,ê‚ëŒéºìx,êÑíËì˙éÀó ,â∫å¸Ç´ëÂãCï˙éÀ,ìÏñkïó,ìåêºïó,ãCà≥,ç~êÖó ,ïóë¨,ïóå¸,ëæózçÇìx,ëæózï˚à ,ñ@ê¸ñ íºíBì˙éÀó ,êÖïΩñ ìVãÛì˙éÀó ,ñÈä‘ï˙éÀ
1,4,10,-2.698040,2.021597,0.666525,0.901907,-1.903244,3.159416,100769.872608,0.752225,3.647260,292.500000,17.395499,148.211282,0.657037,0.470094,0.190152
1,4,11,-2.573414,1.757745,0.860789,0.913886,-2.249006,3.451455,100747.407061,0.387516,4.049386,292.500000,22.000006,162.053477,0.733258,0.586105,0.180187
1,4,12,-2.165024,1.766409,1.018346,0.863126,-2.248916,3.311042,100629.312815,0.144462,3.931484,315.000000,24.000517,176.899879,0.800702,0.692665,0.237568
1,4,13,-2.276027,1.822069,0.984037,0.853390,-2.458801,3.181038,100682.148737,0.100828,3.987969,315.000000,23.156387,191.939147,0.814593,0.663705,0.245501
1,4,14,-2.734956,1.922737,0.754955,0.904706,-2.333872,2.774053,100740.342813,0.294876,3.611848,315.000000,19.572235,206.268163,0.460142,0.600809,0.186756
1,4,15,-2.766529,1.754020,0.503412,0.889688,-1.495466,2.444179,100690.759679,0.514049,2.830417,292.500000,13.644599,219.304518,0.447606,0.397822,0.201265
1,4,16,-3.671774,1.947017,0.164211,0.878424,-1.333434,1.917450,100801.110593,0.187663,2.298722,315.000000,5.891556,230.930256,0.161247,0.147660,0.197992
1,4,17,-4.395323,2.049464,0.003918,0.937903,-1.266919,1.476210,100828.347600,1.206880,1.939685,315.000000,-3.193072,241.370442,0.000000,0.003918,0.126999
1,4,18,-4.105682,2.120995,0.000000,0.957373,-1.000577,1.637995,100765.139850,0.743256,1.896215,292.500000,-13.199240,251.030860,0.000000,0.000000,0.112128
1,4,19,-4.097659,2.011330,0.000000,0.957726,-1.459761,1.839546,100819.224621,0.839714,2.332963,315.000000,-23.795440,260.427901,0.000000,0.000000,0.111901
