ì˙ït,ãCâ∑,ëäëŒéºìx,ãCà≥,ç~êÖó ,ç~ê·ó ,ïóë¨,ïóå¸,ëSìVì˙éÀó ,ëÂãCìßâﬂó¶,â_ó 
y/m/d HH:MM,Åé,%,Pa,mm,mm,m/s,-,W/m2,-,-
date,temp,rh,p_atm,Jp,Js,WS,WD,Qs,tau,cloudiness
2012/1/10 15:00,10.5,44,,0,,2.5,êº,,0.508522309,
2012/1/10 16:00,10.4,44,,0,,3.4,êº,,0.886619249,
2012/1/10 17:00,9.6,52,,0,,2.8,êºìÏêº,,1.00E-50,
2012/1/10 18:00,9.1,58,,0,,3.7,êºìÏêº,,1.00E-50,
2012/1/10 19:00,8.7,60,,0,,2.6,êº,,1.00E-50,
2012/1/10 20:00,8.8,59,,0,,2.7,êº,,1.00E-50,
2012/1/10 21:00,7.8,58,,0,,2.8,êºñkêº,,1.00E-50,
2012/1/10 22:00,7,61,,0,,2.1,êºìÏêº,,1.00E-50,
2012/1/10 23:00,5.6,69,,0,,3,êºìÏêº,,1.00E-50,
2012/1/11 0:00,5,71,,0,,3.6,êº,,1.00E-50,
2012/1/11 1:00,5.8,60,,0,,2.9,êº,,1.00E-50,
2012/1/11 2:00,6.1,58,,0,,4.3,êº,,1.00E-50,
2012/1/11 3:00,5.8,57,,0,,3.9,êº,,1.00E-50,
2012/1/11 4:00,6.7,54,,0,,3.9,êº,,1.00E-50,
2012/1/11 5:00,7.7,49,,0,,1.8,êº,,1.00E-50,
2012/1/11 6:00,7.3,50,,0,,5.2,êº,,1.00E-50,
2012/1/11 7:00,6.8,47,,0,,2.7,êº,,0.80430777,
2012/1/11 8:00,6.6,47,,0,,3.9,êºñkêº,,0.82229623,
2012/1/11 9:00,7.1,46,,0,,6.1,êº,,0.733814963,
2012/1/11 10:00,7.5,47,,0,,5.9,êº,,0.76774096,
2012/1/11 11:00,7.6,46,,0,,6.5,êº,,0.751032821,
2012/1/11 12:00,7.7,48,,0,,5.8,êº,,0.746521139,
2012/1/11 13:00,8.7,41,,0,,8.1,êº,,0.719702946,
2012/1/11 14:00,7,49,,0,,7.6,êº,,0.552642393,
2012/1/11 15:00,7.9,38,,0,,6.6,êºñkêº,,0.647427511,
2012/1/11 16:00,7,42,,0,,5.6,ñkêº,,0.261671566,
2012/1/11 17:00,5.2,54,,0,,4.3,ñkñkêº,,1.00E-50,
2012/1/11 18:00,4.6,55,,0,,5.2,ñkñkêº,,1.00E-50,
2012/1/11 19:00,4.5,49,,0,,3.4,ñkñkêº,,1.00E-50,
2012/1/11 20:00,4.6,46,,0,,3.1,ñk,,1.00E-50,
2012/1/11 21:00,4.6,44,,0,,3.1,ñk,,1.00E-50,
2012/1/11 22:00,4.1,42,,0,,3,ñk,,1.00E-50,
2012/1/11 23:00,2.7,45,,0,,3.9,ñk,,1.00E-50,
2012/1/12 0:00,2.7,47,,0,,4,ñk,,1.00E-50,
2012/1/12 1:00,1.5,54,,0,,2.8,ñkñkêº,,1.00E-50,
2012/1/12 2:00,1.1,58,,0,,2.5,ñkêº,,1.00E-50,
2012/1/12 3:00,0,64,,0,,2.8,ñkñkêº,,1.00E-50,
2012/1/12 4:00,-0.3,67,,0,,1.3,êºñkêº,,1.00E-50,
2012/1/12 5:00,-0.6,69,,0,,1.3,êºñkêº,,1.00E-50,
2012/1/12 6:00,-0.8,70,,0,,1.4,ñkêº,,1.00E-50,
2012/1/12 7:00,-1.3,73,,0,,1.4,ñkêº,,0.596998135,
2012/1/12 8:00,-0.7,71,,0,,1.6,êºñkêº,,0.682142919,
2012/1/12 9:00,1.4,63,,0,,1.4,êºñkêº,,0.560848529,
2012/1/12 10:00,4.5,50,,0,,2.4,ìåñkìå,,0.756486526,
2012/1/12 11:00,7.8,41,,0,,1.7,ñkìå,,0.749802408,
2012/1/12 12:00,7.4,47,,0,,0.8,ìåñkìå,,0.748047787,
2012/1/12 13:00,8.3,44,,0,,2.7,êº,,0.705960748,
2012/1/12 14:00,8,44,,0,,0.9,ìåñkìå,,0.784541142,
2012/1/12 15:00,8.6,42,,0,,1.2,ñkñkìå,,0.573257446,
2012/1/12 16:00,9,39,,0,,2.7,êºìÏêº,,0.613317116,
2012/1/12 17:00,8.3,51,,0,,3.9,êº,,1.00E-50,
2012/1/12 18:00,6.8,58,,0,,2.5,êºìÏêº,,1.00E-50,
2012/1/12 19:00,6.2,61,,0,,3,ìÏêº,,1.00E-50,
2012/1/12 20:00,5,61,,0,,1.9,ìÏìÏìå,,1.00E-50,
2012/1/12 21:00,4,57,,0,,1.6,ìÏ,,1.00E-50,
2012/1/12 22:00,2.6,63,,0,,1.5,ìÏ,,1.00E-50,
2012/1/12 23:00,1.9,64,,0,,2,ìÏ,,1.00E-50,
2012/1/13 0:00,1.5,67,,0,,1,ñkñkêº,,1.00E-50,
2012/1/13 1:00,3,59,,0,,0.4,ñk,,1.00E-50,
2012/1/13 2:00,1.9,65,,0,,0.7,ñkêº,,1.00E-50,
2012/1/13 3:00,3.1,58,,0,,1.5,ìÏìå,,1.00E-50,
2012/1/13 4:00,3.2,61,,0,,0.8,ìÏìå,,1.00E-50,
2012/1/13 5:00,6.2,52,,0,,1.9,ìÏìÏìå,,1.00E-50,
2012/1/13 6:00,5.7,50,,0,,1.8,ìÏêº,,1.00E-50,
2012/1/13 7:00,5.3,49,,0,,1,ñkñkêº,,0.277837516,
2012/1/13 8:00,5.6,47,,0,,1.7,êºìÏêº,,0.565823883,
2012/1/13 9:00,6,45,,0,,4.9,êº,,0.63468189,
2012/1/13 10:00,6.4,42,,0,,4.8,êº,,0.640667491,
2012/1/13 11:00,6.6,39,,0,,5,êºìÏêº,,0.611887735,
