ì˙éû,ãCâ∑,ëäëŒéºìx,ãCà≥,ç~êÖó ,ç~ê·ó ,ïóë¨,ïóå¸,ëSìVì˙éÀó ,ëÂãCìßâﬂó¶,â_ó 
y/m/d HH:MM,Åé,%,Pa,mm,mm,m/s,-,W/m2,-,-
date,temp,rh,p_atm,Jp,Js,WS,WD,Qs,tau,cloudiness
2022/1/7 21:00,4.9,51,,0.0,,0.5,ìÏìå,,1.0e-50,
2022/1/7 22:00,4.4,54,,0.0,,0.7,ñkñkêº,,1.0e-50,
2022/1/7 23:00,4.8,51,,0.0,,1.2,ñkñkêº,,1.0e-50,
2022/1/8 0:00,4.7,53,,0.0,,1.4,ñkñkìå,,1.0e-50,
2022/1/8 1:00,4.4,56,,0.0,,1.1,ñkñkìå,,1.0e-50,
2022/1/8 2:00,4.6,55,,0.0,,1.3,ñkñkìå,,1.0e-50,
2022/1/8 3:00,4.6,57,,0.0,,1.5,ñkñkìå,,1.0e-50,
2022/1/8 4:00,4.9,60,,0.0,,1.4,ñkñkìå,,1.0e-50,
2022/1/8 5:00,4.7,68,,0.0,,1.1,ñkìå,,1.0e-50,
2022/1/8 6:00,5.2,66,,0.0,,1.3,ñkñkìå,,1.0e-50,
2022/1/8 7:00,4.9,75,,0.5,,0.9,ñkìå,,1.0e-50,
2022/1/8 8:00,5.3,81,,0.4,,1.1,ñkìå,,0.01,
2022/1/8 9:00,5.6,83,,0.8,,1.1,ñkñkìå,,0.01,
2022/1/8 10:00,6.0,86,,1.0,,1.0,ñkìå,,0.01,
2022/1/8 11:00,6.6,88,,1.0,,0.9,ñkìå,,0.01,
2022/1/8 12:00,7.1,89,,0.7,,1.0,ñkñkìå,,0.01,
2022/1/8 13:00,7.6,89,,1.0,,1.1,ñkìå,,0.01,
2022/1/8 14:00,8.0,90,,1.3,,1.4,ñkìå,,0.01,
2022/1/8 15:00,7.7,89,,1.9,,1.5,ìåñkìå,,0.01,
2022/1/8 16:00,7.8,90,,1.9,,1.7,ìåñkìå,,0.01,
2022/1/8 17:00,7.7,91,,2.1,,2.0,ìåñkìå,,0.01,
2022/1/8 18:00,7.7,90,,2.5,,1.6,ñkìå,,1.0e-50,
2022/1/8 19:00,7.2,93,,2.2,,0.6,ñkìå,,1.0e-50,
2022/1/8 20:00,7.2,92,,3.1,,1.4,ñkñkìå,,1.0e-50,
2022/1/8 21:00,7.1,90,,2.6,,1.6,ñkñkìå,,1.0e-50,
2022/1/8 22:00,7.1,86,,1.8,,1.2,ñk,,1.0e-50,
